1
2
John,1000,0,True
100,35,0,True
52
Six,Spades
Ace,Clubs
Two,Clubs
Nine,Hearts
Ace,Hearts
Ten,Clubs
Five,Diamonds
Nine,Clubs
Nine,Diamonds
Ten,Hearts
Three,Hearts
Five,Hearts
Four,Spades
Three,Clubs
Ten,Hearts
Seven,Spades
Four,Hearts
Five,Spades
Ten,Clubs
Nine,Spades
Two,Hearts
Six,Hearts
Seven,Diamonds
Ten,Diamonds
Eight,Spades
Ten,Clubs
Seven,Clubs
Six,Diamonds
Ten,Spades
Ten,Diamonds
Eight,Clubs
Six,Clubs
Five,Clubs
Ten,Diamonds
Ace,Diamonds
Ten,Clubs
Two,Spades
Two,Diamonds
Ten,Spades
Eight,Diamonds
Ace,Spades
Eight,Hearts
Ten,Spades
Three,Spades
Ten,Hearts
Seven,Hearts
Four,Clubs
Ten,Spades
Four,Diamonds
Three,Diamonds
Ten,Diamonds
Ten,Hearts
